,end_station_name,end_lat,end_lng
2024985,Broadway & W 56 St,40.765,-73.982
5864799,Broadway & W 58 St,40.767,-73.982
8978250,Broadway & W 61 St,40.77,-73.982
9018744,Broadway & Whipple St,40.702,-73.944
7888937,Broadway\t& W 48 St,40.76,-73.985
2818442,Bronx Shore Comfort Station,40.8,-73.924
4898555,Brook Ave & E 138 St,40.807,-73.919
10309110,Brook Ave & E 141 St,40.81,-73.918
4304074,Brook Ave & E 148 St,40.814,-73.915
11380099,Brook Ave & E 157 St,40.821,-73.912
11342712,Brooklyn Bridge Park - Pier 2,40.698,-73.997
4591524,Bruckner Blvd & Bryant Ave,40.822,-73.889
10399304,Buchanan Pl & Grand Ave,40.858,-73.906
418395,Bulova Ave & Brooklyn Queens Expressway W,40.763,-73.903
12810420,Bus Slip & State St,40.702,-74.014
7432811,Bushwick Ave & Dekalb Ave,40.695,-73.928
12785722,Bushwick Ave & Forrest St,40.701,-73.936
6630904,Bushwick Ave & Furman Ave,40.683,-73.906
11036965,Bushwick Ave & Harman St,40.694,-73.925
8700047,Bushwick Ave & Linden St,40.691,-73.921
5504319,Bushwick Ave & McKibbin St,40.706,-73.939
5162204,Bushwick Ave & Powers St,40.712,-73.941
892369,Bushwick Ave & Stagg St,40.71,-73.94
1474695,Butler St & Court St,40.685,-73.994
3296615,Cabrini Blvd & W 177 St,40.848,-73.941
4831509,Cadman Plaza E & Red Cross Pl,40.7,-73.99
375257,Cadman Plaza E & Tillary St,40.696,-73.99
11772977,Calyer St & Guernsey St,40.728,-73.955
5567454,Calyer St & Jewel St,40.73,-73.948
11583905,Cambridge Pl & Gates Ave,40.685,-73.963
10899437,Canal St & Rutgers St,40.714,-73.99
9383528,Carlton Ave & Dean St,40.681,-73.971
6808125,Carlton Ave & Flushing Ave,40.698,-73.974
8835520,Carlton Ave & Park Ave,40.696,-73.974
12513983,Carmine St & 6 Ave,40.73,-74.002
5250032,Carroll St & 5 Ave,40.675,-73.981
12052630,Carroll St & 6 Ave,40.674,-73.979
3971957,Carroll St & Bond St,40.679,-73.99
11168601,Carroll St & Columbia St,40.683,-74.003
8426156,Carroll St & Franklin Ave,40.668,-73.959
12771835,Carroll St & Smith St,40.681,-73.995
7861545,Carroll St & Washington Ave,40.669,-73.962
10249120,Cathedral Pkwy & Broadway,40.804,-73.967
6112986,Catherine St & Monroe St,40.711,-73.997
8384627,Caton Ave & Argyle Rd,40.65,-73.968
5778658,Caton Ave & E 10 St,40.648,-73.971
3360673,Caton Ave & E 7 St,40.648,-73.974
1810839,Cauldwell Ave & E 158 St,40.82,-73.908
6841356,Cauldwell Ave & E 161 St,40.822,-73.908
11814583,Cedar Ave & W Fordham Rd,40.862,-73.912
10737075,Cedar St & Evergreen Ave,40.697,-73.928
10599009,Cedar St & Myrtle Ave,40.698,-73.926
3845666,Center Blvd & 48 Ave,40.745,-73.958
9407910,Center Blvd & 51 Ave,40.743,-73.96
1751725,Central Ave & Covert St,40.689,-73.91
6062843,Central Ave & Decatur St,40.688,-73.908
9696982,Central Ave & Flushing Ave,40.703,-73.933
1914420,Central Ave & Himrod St,40.697,-73.923
9561821,Central Ave & Melrose St,40.701,-73.93
12437744,Central Ave & Starr Street,40.7,-73.928
8078556,Central Ave & Weirfield St,40.691,-73.912
6254914,Central Ave & Woodbine St,40.693,-73.916
10425458,Central Park North & Adam Clayton Powell Blvd,40.799,-73.956
2217499,Central Park S & 6 Ave,40.766,-73.976
7659530,Central Park W & W 103 St,40.796,-73.962
4456233,Central Park W & W 91 St,40.789,-73.967
12022602,Central Park W & W 97 St,40.792,-73.964
12808685,Central Park West & W 68 St,40.773,-73.978
9056703,Central Park West & W 72 St,40.776,-73.976
10455180,Central Park West & W 76 St,40.779,-73.974
3550975,Central Park West & W 85 St,40.785,-73.97
11486240,Centre St & Chambers St,40.713,-74.005
5741394,Centre St & Seneca Ave,40.7,-73.902
6539426,Centre St & Worth St,40.715,-74.002
11956975,Charlotte St & Boston Rd,40.836,-73.893
760282,Cherry St,40.712,-73.979
6882085,Chester Ave & 12 Ave,40.644,-73.984
10139548,Christ Hospital,40.735,-74.05
9733788,Christopher St & Greenwich St,40.733,-74.007
4004620,Church Ave & McDonald Ave,40.643,-73.979
9970267,Church Ave & Story St,40.642,-73.981
10938904,Church Sq Park - 5 St & Park Ave,40.743,-74.032
8882522,City Hall,40.718,-74.044
6753207,Clark St & Henry St,40.698,-73.993
11516203,Classon Ave & St Marks Ave,40.677,-73.96
11898543,Clay Ave & Claremont Pkwy,40.84,-73.905
4502486,Clay Ave & E 173 St,40.843,-73.905
3311421,Clermont Ave & Lafayette Ave,40.688,-73.97
10599955,Clermont Ave & Park Ave,40.696,-73.971
4188332,Cleveland Pl & Spring St,40.722,-73.997
6882826,Cliff St & Fulton St,40.708,-74.005
893204,Clinton Ave & Flushing Ave,40.698,-73.97
4054043,Clinton Ave & Myrtle Ave,40.693,-73.969
2691420,Clinton St & 4 Place,40.678,-74.0
6807340,Clinton St & 7 St,40.745,-74.033
324921,Clinton St & Centre St,40.674,-74.002
12582821,Clinton St & Cherry St,40.711,-73.987
2523755,Clinton St & Grand St,40.716,-73.987
12640356,Clinton St & Joralemon St,40.692,-73.993
4636781,Clinton St & Tillary St,40.696,-73.991
9290703,Clinton St & Union St,40.683,-73.998
11467953,Coffey St & Conover St,40.677,-74.016
2368638,Coffey St & Ferris St,40.678,-74.017
6941466,College Ave & E 170 St,40.838,-73.91
181425,Columbia Heights & Cranberry St,40.7,-73.995
11511207,Columbia St & Degraw St,40.686,-74.002
8909850,Columbia St & Kane St,40.688,-74.002
5952474,Columbia St & Lorraine St,40.675,-74.008
3618214,Columbia St & Rivington St,40.717,-73.98
8153691,Columbia St & W 9 St,40.677,-74.006
2749839,Columbus Ave & W 103 St,40.797,-73.964
8079064,Columbus Ave & W 72 St,40.777,-73.979
92044,Columbus Ave & W 95 St,40.792,-73.968
11688508,Columbus Dr at Exchange Pl,40.717,-74.033
9735653,Columbus Drive,40.718,-74.039
12159630,Columbus Park - Clinton St & 9 St,40.748,-74.032
12315153,Commerce St & Van Brunt St,40.681,-74.009
1833459,Concord St & Bridge St,40.698,-73.985
3443373,Concourse Village East & E 158 St,40.824,-73.919
9413599,Concourse Village West & E 156 St,40.823,-73.923
9934941,Congress St & Clinton St,40.688,-73.995
2418350,Congress St & Hicks St,40.689,-74.0
825532,Convent Ave & W 135 St,40.818,-73.951
9501240,Convent Ave & W 151 St,40.828,-73.943
4829815,Cooper Square & Astor Pl,40.73,-73.991
10641065,Court St & Nelson St,40.676,-73.999
12478075,Court St & State St,40.69,-73.992
5616892,Courtlandt Ave & E 149 St,40.816,-73.92
2627858,Courtlandt Ave & E 157 St,40.822,-73.917
4433416,Crescent St & 30 Ave,40.769,-73.925
9290900,Crescent St & 34 Ave,40.761,-73.931
11992540,Crescent St & 35 Ave,40.76,-73.932
6705571,Crescent St & Broadway,40.763,-73.929
9199931,Crescent St & Ditmars Blvd,40.779,-73.915
6642356,Creston Ave & E 178 St,40.851,-73.906
9489866,Creston Ave & E 181 St,40.855,-73.903
7579426,Crotona Park East & E 173 St,40.837,-73.89
10348643,Crotona Park North & Prospect Ave,40.841,-73.892
2464712,Cumberland St & Lafayette Ave,40.688,-73.973
4093362,Cypress Ave & George St,40.698,-73.903
9827341,Cypress Ave & Palmetto St,40.702,-73.909
306932,Dahill Rd & 12 Ave,40.646,-73.981
9642323,Davidson Ave & W Burnside Ave,40.854,-73.909
4219950,Dawson St & Intervale Ave,40.82,-73.897
2241207,DeKalb Ave & Franklin Ave,40.691,-73.957
1399382,DeKalb Ave & Hudson Ave,40.69,-73.981
9323710,DeKalb Ave & S Portland Ave,40.69,-73.975
8961446,DeKalb Ave & Vanderbilt Ave,40.689,-73.969
6699582,Dean St & Franklin Ave,40.678,-73.956
4147742,Dean St & Hoyt St,40.686,-73.988
10288585,Decatur Ave & Bedford Park Blvd,40.868,-73.884
6644909,Decatur Ave & E 197 St,40.866,-73.888
2297557,Decatur Ave & Oliver Pl,40.867,-73.886
10324933,Degraw St & Hoyt St,40.682,-73.991
4776061,Degraw St & Smith St,40.683,-73.993
12477387,Delancey St & Eldridge St,40.719,-73.991
1210303,Devoe St & Lorimer St,40.713,-73.949
7481777,Devoe St & Morgan Ave,40.714,-73.935
154618,Ditmars Blvd & 19 St,40.781,-73.918
12528566,Ditmars Blvd & 43 St,40.771,-73.904
451979,Ditmars Blvd & 48 St,40.769,-73.901
6641629,Ditmars Blvd & 73 St,40.768,-73.896
7375258,Ditmars Blvd & 76 St,40.768,-73.894
7381903,Ditmars Blvd & 79 St,40.769,-73.891
8283252,Division Ave & Hooper St,40.707,-73.954
6396889,Division Ave & Marcy Ave,40.707,-73.958
10152784,Division St & Bowery,40.714,-73.997
6063672,Dixon Mills,40.722,-74.05
10044590,Dock 72 Way & Market St,40.7,-73.971
6354557,Dock St & Front St,40.703,-73.993
1508331,Douglass St & 3 Ave,40.68,-73.984
515410,Douglass St & 4 Ave,40.679,-73.982
4026328,Driggs Ave & Lorimer St,40.722,-73.95
6865823,Driggs Ave & N 9 St,40.718,-73.955
1399646,Driggs Ave & N Henry St,40.723,-73.943
9504080,Duane St & Hudson St,40.717,-74.009
5433997,Duffield St & Willoughby St,40.692,-73.984
809665,Dwight St & Van Dyke St,40.674,-74.012
9014297,Dyckman St & 10 Ave,40.859,-73.923
4446939,Dyckman St & Henshaw St,40.867,-73.929
12794864,Dyckman St & Staff St,40.869,-73.932
6097005,E 1 St & 1 Ave,40.723,-73.989
6461355,E 10 St & 2 Ave,40.73,-73.987
994684,E 10 St & Avenue A,40.727,-73.981
10976546,E 102 St & 1 Ave,40.787,-73.942
307489,E 102 St & Park Ave,40.79,-73.95
1809501,E 103 St & Lexington Ave,40.79,-73.948
9413270,E 106 St & 1 Ave,40.789,-73.94
4645772,E 106 St & 2 Ave,40.791,-73.942
11106084,E 106 St & Lexington Ave,40.792,-73.946
6832887,E 106 St & Madison Ave,40.793,-73.949
2156065,E 109 St & 3 Ave,40.793,-73.943
3891608,E 11 St & 1 Ave,40.73,-73.984
9908340,E 11 St & 3 Ave,40.731,-73.988
285307,E 11 St & Avenue B,40.727,-73.98
535250,E 110 St & Madison Ave,40.796,-73.948
7742771,E 114 St & 1 Ave,40.795,-73.936
2599671,E 115 St & Lexington Ave,40.798,-73.942
4045154,E 115 St & Madison Ave,40.799,-73.945
2570329,E 116 St & 2 Ave,40.797,-73.937
9828105,E 118 St & 1 Ave,40.797,-73.935
200773,E 118 St & 3 Ave,40.799,-73.939
8815402,E 118 St & Madison Ave,40.801,-73.944
2640156,E 118 St & Park Ave,40.801,-73.942
8750506,E 12 St & 3 Ave,40.732,-73.989
10180106,E 12 St & Ave C,40.727,-73.977
401327,E 123 St & Lexington Ave,40.803,-73.938
4452369,E 128 St & 3 Ave,40.806,-73.934
813274,E 128 St & Madison Ave,40.808,-73.939
1648886,E 13 St & 2 Ave,40.732,-73.985
2201362,E 13 St & Avenue A,40.73,-73.981
1353800,E 132 St & Madison Ave,40.81,-73.937
6987414,E 133 St & Cypress Pl,40.803,-73.917
5610755,E 134 St & Walnut Ave,40.8,-73.911
2923693,E 135 St & St Ann's Ave,40.805,-73.919
12353450,E 138 St & 5 Av,40.814,-73.936
1917605,E 138 St & Canal St W,40.812,-73.929
9398515,E 138 St & Cypress Ave,40.806,-73.915
837045,E 138 St & Grand Concourse,40.813,-73.931
10230184,E 138 St & Park Ave,40.813,-73.929
11558427,E 138 St & Willow Ave,40.804,-73.912
2350641,E 14 St & 1 Ave,40.731,-73.983
3255033,E 14 St & Avenue B,40.729,-73.978
233426,E 141 St & Jackson Ave,40.807,-73.912
10115605,E 141 St & St Ann's Ave,40.809,-73.916
8328187,E 142 St & 3 Ave,40.813,-73.924
8813632,E 144 St & Brook Ave,40.812,-73.917
1225502,E 147 St & Bergen Ave,40.815,-73.918
4986631,E 149 St & Eagle Ave,40.814,-73.912
12765447,E 149 St & Jackson Ave,40.813,-73.909
10198046,E 149 St & Morris Ave,40.817,-73.923
4049232,E 149 St & Park Ave,40.818,-73.925
9322137,E 15 St & 3 Ave,40.734,-73.987
11019093,E 150 St & Gerard Ave,40.82,-73.929
2841924,E 153 St & E 157 St,40.827,-73.929
4658481,E 155 St & Courtlandt Ave,40.821,-73.918
3783882,E 156 & Brook Ave,40.82,-73.912
3937042,E 156 St & Courtlandt Ave,40.821,-73.917
4448909,E 157 St & River Ave,40.826,-73.927
12173911,E 158 St & Melrose Ave,40.822,-73.915
4962818,E 16 St & 5 Ave,40.737,-73.992
3129685,E 16 St & Irving Pl,40.735,-73.988
8700747,E 160 St & Tinton Ave,40.82,-73.904
12813296,E 161 St & Park Ave,40.825,-73.916
9276870,E 161 St & River Ave,40.828,-73.927
11031228,E 163 St & Tiffany St,40.821,-73.895
4682162,E 163 St & Union Ave,40.823,-73.902
3040967,E 165 St & Clay Ave,40.828,-73.913
10203382,E 165 St & Fox St,40.824,-73.894
11237683,E 165 St & Jerome Ave,40.833,-73.925
3010068,E 167 St & Bryant Ave,40.827,-73.889
2619229,E 167 St & Clay Ave,40.831,-73.911
7536108,E 167 St & Franklin Ave,40.829,-73.905
7789250,E 169 St & Fox St,40.827,-73.894
4877379,E 169 St & Webster Ave,40.834,-73.909
10908370,E 17 St & 2 Ave,40.734,-73.984
5127351,E 17 St & Broadway,40.737,-73.99
9849623,E 170 St & Clay Ave,40.837,-73.908
8338233,E 170 St & Sheridan Ave,40.838,-73.913
7497825,E 170 St & Webster Ave,40.836,-73.907
8507443,E 171 St & 3 Ave,40.837,-73.902
12644332,E 171 St & Webster Ave,40.838,-73.906
9784041,E 174 St & Longfellow Ave,40.836,-73.884
6197390,E 174 St & Walton Ave,40.845,-73.912
10346301,E 182 St & Morris Ave,40.857,-73.903
8407852,E 188 St & Creston Ave,40.862,-73.899
10480489,E 19 St & 3 Ave,40.736,-73.985
3729478,E 2 St & 2 Ave,40.725,-73.991
1621275,E 2 St & Avenue A,40.723,-73.986
135053,E 2 St & Avenue B,40.722,-73.984
3887923,E 2 St & Avenue C,40.721,-73.981
1939643,E 20 St & 2 Ave,40.736,-73.982
4304702,E 20 St & FDR Dr,40.733,-73.976
2205738,E 20 St & FDR Drive,40.733,-73.976
5705743,E 20 St & Park Ave,40.738,-73.988
11761688,E 201 St & Briggs Ave,40.872,-73.885
6239141,E 22 St & 2 Ave,40.737,-73.981
5962000,E 23 St & 1 Ave,40.737,-73.978
10062930,E 25 St & 1 Ave,40.738,-73.977
11627692,E 25 St & 2 Ave,40.739,-73.98
7328581,E 26 St & 3 Ave,40.741,-73.982
6701410,E 27 St & 1 Ave,40.739,-73.977
6628875,E 27 St & Park Ave S,40.743,-73.985
2293727,E 3 St & 1 Ave,40.725,-73.988
1069340,E 3 St & Church Ave,40.644,-73.977
7008321,E 30 St & Park Ave S,40.744,-73.983
3841108,E 31 St & 3 Ave,40.744,-73.98
1905089,E 32 St & Park Ave,40.746,-73.982
807413,E 33 St & 1 Ave,40.743,-73.974
6984406,E 33 St & 5 Ave,40.748,-73.985
11637663,E 35 St & Madison Ave,40.748,-73.983
4089707,E 39 St & 2 Ave,40.748,-73.974
252187,E 39 St & Lexington Ave,40.749,-73.977
6757512,E 4 St & 2 Ave,40.726,-73.99
4146400,E 4 St & Ave B,40.723,-73.983
2927544,E 40 St & 5 Ave,40.752,-73.982
11129123,E 40 St & Park Ave,40.751,-73.978
7432060,E 41 St & Madison Ave (SE corner),40.752,-73.98
3975229,E 41 St & Madison Ave (SW corner),40.752,-73.98
10468588,E 44 St & 2 Ave,40.751,-73.971
12763211,E 44 St & Lexington Ave,40.753,-73.975
4416444,E 45 St & 3 Ave,40.753,-73.973
2517471,E 47 St & 1 Ave,40.752,-73.968
6663850,E 47 St & 2 Ave,40.753,-73.97
4857963,E 47 St & Park Ave,40.755,-73.975
859667,E 48 St & 3 Ave,40.755,-73.972
9470011,E 48 St & 5 Ave,40.757,-73.978
3166914,E 5 St & Ave A,40.725,-73.984
3447581,E 5 St & Avenue C,40.723,-73.98
1336643,E 5 St & Cooper Sq,40.728,-73.991
7939993,E 50 St & Park Ave,40.757,-73.974
7889131,E 51 St & 1 Ave,40.755,-73.966
1107650,E 51 St & 2 Ave,40.755,-73.968
439179,E 51 St & Lexington Ave,40.757,-73.972
7530063,E 53 St & Lexington Ave,40.758,-73.971
8133593,E 53 St & Madison Ave,40.76,-73.974
4166950,E 54 St & 1 Ave,40.756,-73.964
6846929,E 55 St & 2 Ave,40.758,-73.966
1954518,E 56 St & 3 Ave,40.759,-73.968
9666834,E 56 St & Madison Ave,40.762,-73.973
2239063,E 58 St & 1 Ave (NE Corner),40.759,-73.962
10434510,E 58 St & 1 Ave (NW Corner),40.759,-73.963
7397386,E 58 St & 3 Ave,40.761,-73.967
3235778,E 58 St & Madison Ave,40.763,-73.972
11083473,E 59 St & Madison Ave,40.764,-73.971
7878803,E 6 St & 2 Ave,40.727,-73.988
12755626,E 6 St & Avenue B,40.725,-73.982
10516586,E 6 St & Avenue D,40.722,-73.977
822329,E 6 St 2 Ave,40.727,-73.988
6111165,E 60 St & York Ave,40.759,-73.959
7423892,E 63 St & 3 Ave,40.764,-73.965
12583693,E 65 St & 2 Ave,40.765,-73.962
4369946,E 66 St & Madison Ave,40.768,-73.968
3482244,E 67 St & Park Ave,40.768,-73.966
12239040,E 68 St & 3 Ave,40.767,-73.962
8977577,E 68 St & Madison Ave,40.769,-73.967
7178916,E 7 St & Ave B,40.725,-73.981
9215187,E 7 St & Ave C,40.724,-73.979
6145561,E 7 St & Avenue A,40.726,-73.984
760055,E 72 St & Park Ave,40.771,-73.964
3930301,E 72 St & York Ave,40.767,-73.953
1442975,E 74 St & 1 Ave,40.769,-73.955
5235414,E 75 St & 3 Ave,40.771,-73.958
6744073,E 76 St & Park Ave,40.774,-73.962
8678970,E 77 St & 3 Ave,40.773,-73.959
1151388,E 78 St & 2 Ave,40.773,-73.956
2128978,E 8 St & Caton Ave,40.648,-73.972
12368715,E 80 St & 2 Ave,40.774,-73.954
865427,E 81 St & 2 Ave,40.775,-73.954
4789706,E 81 St & 3 Ave,40.776,-73.957
1140705,E 81 St & Park Ave,40.777,-73.959
1748288,E 81 St & York Ave,40.773,-73.95
8034469,E 82 St & East End Ave,40.772,-73.947
3433835,E 84 St & 1 Ave,40.776,-73.951
9065642,E 84 St & Park Ave,40.779,-73.958
7231246,E 85 St & 3 Ave,40.778,-73.954
12015243,E 85 St & York Ave,40.775,-73.948
9533763,E 88 St & 1 Ave,40.778,-73.949
59264,E 88 St & Park Ave,40.781,-73.956
1199860,E 89 St & 3 Ave,40.781,-73.952
1108283,E 89 St & York Ave,40.778,-73.946
750585,E 9 St & 5 Ave,40.733,-73.996
979095,E 9 St & Avenue C,40.725,-73.978
8099667,E 91 St & 2 Ave,40.781,-73.95
12796731,E 91 St & Park Ave,40.784,-73.955
7893328,E 92 St & Park Ave,40.784,-73.954
11756764,E 93 St & 2 Ave,40.782,-73.949
6799286,E 95 St & 3 Ave,40.785,-73.951
2380618,E 97 St & 3 Ave,40.786,-73.949
9541653,E 97 St & Madison Ave,40.788,-73.954
7115559,E 98 St & Park Ave,40.788,-73.952
10594662,E Burnside Ave & Ryer Ave,40.851,-73.901
11670605,E Fordham Rd & Webster Ave,40.862,-73.891
3213519,E Houston St & Columbia St,40.72,-73.979
10118487,E Mosholu Pkwy & E 204 St,40.874,-73.883
11872302,E Mosholu Pkwy & Van Cortlandt Ave E,40.877,-73.884
10132815,E Tremont Ave & E 176 St,40.848,-73.902
9848683,E Tremont Ave & Jerome Ave,40.852,-73.909
12799994,East End Ave & E 86 St,40.775,-73.944
11598718,Eastern Pkwy & Franklin Ave,40.671,-73.958
7119368,Eastern Pkwy & Washington Ave,40.672,-73.963
2226639,Edgecombe Ave & W 141 St,40.821,-73.945
8783624,Edgecombe Ave & W 145 St,40.823,-73.944
8303072,Edgecombe Ave & W 150 St,40.827,-73.941
10946318,Edgecombe Ave & W 167 St,40.838,-73.936
3686003,Eldert St & Bushwick Ave,40.687,-73.913
1540346,Emerson Pl & Myrtle Ave,40.694,-73.962
1077316,Engert Ave & McGuinness Blvd,40.722,-73.945
1419171,Essex Light Rail,40.713,-74.036
11616469,Evergreen Ave & Noll St,40.701,-73.933
7112214,FDR Drive & E 35 St,40.744,-73.971
6648951,Faile St & Garrison Ave,40.821,-73.888
10082105,Fairmount Ave,40.726,-74.072
12700452,Fairview Ave & Linden St,40.707,-73.906
98835,Featherbed Ln & Jerome Ave,40.846,-73.914
11050749,Featherbed Ln & Nelson Ave,40.846,-73.92
4868188,Flatbush Ave & Eastern Pkwy,40.669,-73.966
7104047,Flatbush Ave & Ocean Ave,40.664,-73.963
12447340,Flushing Ave & Vanderbilt Ave,40.698,-73.971
1457708,Flushing Ave & Woodward Ave,40.712,-73.919
383781,Folin St & E 181 St,40.854,-73.898
1624364,Forest Ave & Summerfield St,40.699,-73.898
12822671,Forsyth St & Broome St,40.719,-73.993
687827,Forsyth St & Canal St,40.716,-73.994
10608862,Forsyth St\t& Grand St,40.718,-73.993
2523638,Fort Washington Ave & W 173 St,40.845,-73.94
5802250,Fort Washington Ave & W 183 St,40.852,-73.938
9345213,Franklin Ave & E 169 St,40.832,-73.902
9458829,Franklin Ave & Myrtle Ave,40.695,-73.958
5779199,Franklin Ave & St Marks Ave,40.676,-73.956
